album,sales
Mirror Lauren Spencer Smith,635805.8966666666
My 21st Century Blues Raye,624960.2886666667
Heaven knows PinkPantheress,620568
The Land Is Inhospitable And So Are We Mitski,618755.9013333333
Bluebird Days Jordan Davis,615201.2546666666
Sad Boyz 4 Life II Junior H,612251.6126666666
Escolhas (Ao Vivo) Ze Neto & Cristiano,605907
Resistencia Yandel,605683
Like..? Ice Spice,593520.4713333333
Broken By Desire To Be Heavenly Sent Lewis Capaldi,573570.3893333334
Split Decision Dave & Central Cee,544678
"Mor, No Le Temas A La Oscuridad Feid",542462.3773333334
Playa Saturno Rauw Alejandro,537203.3486666667
Cottonwood 2 NLE Choppa,523329.58266666665
Portals Melanie Martinez,517131.76266666665
Alchemical: Volume 1 Dove Cameron,514632.73066666664
Replica Vaundy,510949
Never Enough Daniel Caesar,508655
Decretos Reais Marilia Mendonca,505471.4793333333
D-Day Agust D,498948
Pineapple Sunrise Beach Weather,493305
Il Coraggio Dei Bambini Geolier,477862
Estrella Mora,470306.86666666664
Based On A True Story... New West,469743
Animal Various Artists,465723.3233333333
Super Unhealthy Anne-Marie,463249
Subtract (-) Ed Sheeran,462505.67933333333
Deu Rolo In Goiania (Ao Vivo) Guilherme & Benuto,460735
.mp3 Emilia,454450
The Book 3 Yoasobi,450821
Lagrimas | Crossover #4 Big One,446906.29133333336
Cracker Island Gorillaz,441701
Senaryo Adie,440682.30466666666
Dark Side Justine Skye,438642
Trustfall P!nk,436650.9413333333
Alone In A Crowd Oliver Tree,434523.1373333333
